NY Rangers,Pittsburgh,1/3/2014
Tampa Bay,Calgary,1/3/2014
Edmonton,Anaheim,1/3/2014
Winnipeg,Boston,1/4/2014
San Jose,Colorado,1/4/2014
Carolina,NY Islanders,1/4/2014
Nashville,Florida,1/4/2014
New Jersey,Buffalo,1/4/2014
NY Rangers,Toronto,1/4/2014
Ottawa,Montreal,1/4/2014
Columbus,St. Louis,1/4/2014
Detroit,Dallas,1/4/2014
Philadelphia,Phoenix,1/4/2014
Washington,Minnesota,1/4/2014
Vancouver,Los Angeles,1/4/2014
Winnipeg,Pittsburgh,1/5/2014
Nashville,Carolina,1/5/2014
San Jose,Chicago,1/5/2014
Tampa Bay,Edmonton,1/5/2014
Vancouver,Anaheim,1/5/2014
Columbus,NY Rangers,1/6/2014
Dallas,NY Islanders,1/6/2014
Florida,Montreal,1/6/2014
Calgary,Colorado,1/6/2014
Carolina,Buffalo,1/7/2014
NY Islanders,Toronto,1/7/2014
Philadelphia,New Jersey,1/7/2014
San Jose,Nashville,1/7/2014
Tampa Bay,Winnipeg,1/7/2014
Calgary,Phoenix,1/7/2014
St. Louis,Edmonton,1/7/2014
Boston,Anaheim,1/7/2014
Pittsburgh,Vancouver,1/7/2014
Minnesota,Los Angeles,1/7/2014
Montreal,Philadelphia,1/8/2014
NY Rangers,Chicago,1/8/2014
Ottawa,Colorado,1/8/2014
Dallas,New Jersey,1/9/2014
Florida,Buffalo,1/9/2014
Toronto,Carolina,1/9/2014
Washington,Tampa Bay,1/9/2014
Anaheim,Nashville,1/9/2014
Minnesota,Phoenix,1/9/2014
St. Louis,Calgary,1/9/2014
Boston,Los Angeles,1/9/2014
Detroit,San Jose,1/9/2014
Carolina,Columbus,1/10/2014
Dallas,NY Rangers,1/10/2014
Toronto,Washington,1/10/2014
NY Islanders,Colorado,1/10/2014
Pittsburgh,Edmonton,1/10/2014
St. Louis,Vancouver,1/10/2014
Tampa Bay,Philadelphia,1/11/2014
Chicago,Montreal,1/11/2014
Columbus,Winnipeg,1/11/2014
Florida,New Jersey,1/11/2014
Ottawa,Nashville,1/11/2014
Anaheim,Phoenix,1/11/2014
Colorado,Minnesota,1/11/2014
Pittsburgh,Calgary,1/11/2014
Boston,San Jose,1/11/2014
Detroit,Los Angeles,1/11/2014
Buffalo,Washington,1/12/2014
NY Islanders,Dallas,1/12/2014
Edmonton,Chicago,1/12/2014
Minnesota,Nashville,1/12/2014
New Jersey,Toronto,1/12/2014
Philadelphia,NY Rangers,1/12/2014
Detroit,Anaheim,1/12/2014
Calgary,Carolina,1/13/2014
Tampa Bay,Columbus,1/13/2014
Phoenix,Winnipeg,1/13/2014
Vancouver,Los Angeles,1/13/2014
San Jose,Washington,1/14/2014
Tampa Bay,NY Rangers,1/14/2014
Toronto,Boston,1/14/2014
New Jersey,Montreal,1/14/2014
NY Islanders,Florida,1/14/2014
Philadelphia,Buffalo,1/14/2014
Calgary,Nashville,1/14/2014
Colorado,Chicago,1/14/2014
Ottawa,Minnesota,1/14/2014
Phoenix,St. Louis,1/14/2014
